job_name,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_000511,US_Central,US_West,4,39.9,39.0,2.6356166666682044,False
j_002291,India,Germany,1,2329.5,142.0,188.94595833333332,False
j_000897,US_East,Germany,2,1033.0,95.0,83.65107222222217,False
j_000869,US_East,US_West,3,197.6,74.0,13.387399999998424,False
j_001578,Germany,US_West,4,69.1,153.0,4.681524999998423,False
j_000154,US_West,US_East,1,9566.2,74.0,747.2961611111117,False
j_001915,Korea,US_West,1,21600.0,134.0,1125.5254000000002,False
j_001219,France,US_West,3,301.4,146.0,19.900772222223758,False
j_001907,Korea,France,1,6285.2,238.0,57.53953333333338,False
j_001210,France,US_West,4,51.2,146.0,3.4631111111118984,False
j_001226,France,US_West,5,14.8,146.0,1.0010555555547682,False
j_001222,France,US_West,5,2.5,146.0,0.16909722222222223,False
j_000166,US_West,US_West,1,1897.5,0.0,126.176875,False
j_001223,France,US_West,4,36.8,146.0,2.501377777776986,False
j_000159,US_West,US_West,5,4.4,0.0,0.2911333333348739,False
j_000879,US_East,US_West,4,103.7,74.0,6.861483333334103,False
j_001921,Korea,France,1,3069.7,238.0,27.99224444444454,False
j_000859,US_East,France,3,246.8,90.0,2.125222222222122,False
j_002255,India,US_West,5,10.3,225.0,0.6629194444436952,False
j_001206,France,US_West,4,35.6,146.0,2.291255555554057,False
j_000883,US_East,Germany,5,2.9,95.0,0.22120555555733154,False
j_002602,Japan,US_West,1,2371.4,109.0,144.87728333333465,False
j_001931,Korea,US_West,2,953.3,134.0,59.36369722222144,False
j_001575,Germany,US_West,1,18914.7,153.0,897.6712083333338,False
j_001909,Korea,US_West,1,5196.7,134.0,287.491872222223,False
j_000543,US_Central,France,2,661.6,113.0,6.082011111110933,False
j_001598,Germany,US_East,4,18.0,95.0,1.482,False
j_001942,Korea,US_East,1,3242.6,193.0,246.54073333333142,False
j_001577,Germany,US_West,5,3.9,153.0,0.22825833333469603,False
j_002298,India,US_East,1,2077.4,204.0,156.49258333333498,False
j_000858,US_East,US_West,3,236.8,74.0,13.33973333333268,False
j_000536,US_Central,US_East,1,3769.0,38.0,277.04345000000006,False
j_001209,France,US_East,1,1502.1,90.0,114.32234166666511,False
j_001565,Germany,US_West,5,3.6,153.0,0.20279999999868842,False
j_002624,Japan,US_West,2,1865.6,109.0,100.80540277777654,False
j_001904,Korea,US_East,1,9248.0,193.0,678.1008249999999,False
j_002262,India,France,5,6.6,137.0,0.054816666666473286,False
j_001900,Korea,France,5,9.1,238.0,0.07482222222203079,False
j_002641,Japan,US_East,5,1.4,172.0,0.10986111111293818,False
j_000865,US_East,US_Central,5,3.5,38.0,0.3111111111111111,False
j_001234,France,US_West,5,4.4,146.0,0.2387000000012631,False
j_002648,Japan,US_West,2,490.7,109.0,26.588197222222856,False
j_002616,Japan,France,1,2383.4,228.0,22.35844444444467,False
j_000885,US_East,US_West,5,12.7,74.0,0.6889750000006316,False
j_001946,Korea,US_East,1,16480.9,193.0,1229.6551972222244,False
j_002250,India,France,5,4.2,137.0,0.0375666666667708,False
j_000518,US_Central,France,3,495.7,113.0,4.433761111111216,False
j_001903,Korea,France,1,21600.0,238.0,273.41285,False
j_002295,India,France,2,1041.2,137.0,10.623744444444574,False
j_000868,US_East,France,3,84.3,90.0,0.7891416666665577,False
j_001906,Korea,France,1,1523.3,238.0,17.219047222222077,False
j_001204,France,US_West,4,26.0,146.0,1.3649583333332331,False
j_001588,Germany,US_West,4,13.4,153.0,0.6655333333344898,False
j_000872,US_East,US_West,4,30.6,74.0,1.5197999999988436,False
j_000855,US_East,US_West,5,6.7,74.0,0.3327666666672449,False
j_000501,US_Central,France,5,9.6,113.0,0.10773333333307204,False
j_002643,Japan,US_West,4,55.0,109.0,2.632361111111111,False
j_001241,France,US_West,3,278.8,146.0,13.343677777777222,False
j_000877,US_East,US_West,5,3.5,74.0,0.1675138888888889,False
j_001599,Germany,France,1,4981.0,12.0,67.55077777777777,False
j_002636,Japan,France,5,2.7,228.0,0.0336750000001452,False
j_000533,US_Central,France,2,326.2,113.0,4.218444444444598,False
j_001940,Korea,France,2,2898.7,238.0,39.28500277777793,False
j_002288,India,US_West,1,9734.7,225.0,431.4454583333338,False
j_002647,Japan,France,1,9394.5,228.0,132.92907500000004,False
j_000525,US_Central,US_West,4,22.8,39.0,1.1349333333327538,False
j_000169,US_West,US_West,1,19514.1,0.0,775.4852833333329,False
j_000534,US_Central,France,5,5.9,113.0,0.07784722222252943,False
j_000160,US_West,France,5,6.8,146.0,0.09076111111094684,False
j_001239,France,US_West,5,17.6,146.0,0.8144888888878113,False
j_001925,Korea,US_West,2,1527.5,134.0,67.11890555555546,False
j_000502,US_Central,France,2,5454.7,113.0,76.17804444444458,False
j_002646,Japan,France,1,6159.8,228.0,86.94064166666645,False
j_001947,Korea,US_West,5,3.6,134.0,0.15479999999899885,False
j_000189,US_West,US_West,5,4.7,0.0,0.20210000000050057,False
j_000157,US_West,US_West,5,6.3,0.0,0.27089999999949943,False
j_000162,US_West,France,5,6.1,146.0,0.08399444444414822,False
j_000873,US_East,US_West,5,3.7,74.0,0.15673611111160426,False
j_001905,Korea,US_West,1,6054.3,134.0,261.55785833333283,False
j_002619,Japan,US_West,2,7036.6,109.0,308.8005277777767,False
j_002649,Japan,France,5,14.6,228.0,0.2080499999996682,False
j_000894,US_East,US_West,5,11.6,74.0,0.500088888887885,False
j_002254,India,US_West,2,2654.7,225.0,114.12571111111163,False
j_001242,France,France,5,11.1,0.0,0.14919166666634553,False
j_000875,US_East,US_East,3,55.8,0.0,4.271799999999109,False
j_000186,US_West,US_West,5,5.4,0.0,0.22575000000097337,False
j_002280,India,France,4,27.4,137.0,0.38725000000034926,False
j_001568,Germany,US_East,1,4430.0,95.0,335.3411555555555,False
j_002611,Japan,France,1,2628.9,228.0,39.054291666667,False
j_002640,Japan,US_West,1,3569.2,109.0,157.57224444444503,False
j_000513,US_Central,US_East,5,3.9,38.0,0.2895750000017288,False
j_002256,India,France,1,3758.5,137.0,55.62970833333333,False
j_000886,US_East,US_East,4,28.9,0.0,2.1458250000017287,False
j_001556,Germany,US_East,1,4439.9,95.0,338.80190277777956,False
j_001924,Korea,US_East,2,974.1,193.0,72.00119999999833,False
j_000508,US_Central,US_East,5,4.0,38.0,0.29633333333333334,False
j_001923,Korea,US_East,1,15107.1,193.0,1243.766524999998,False
j_000888,US_East,US_East,5,6.2,0.0,0.45931666666752907,False
j_001948,Korea,France,1,14525.0,238.0,177.8941277777778,False
j_000521,US_Central,US_East,1,10258.4,38.0,831.8775166666686,False
